iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,eager,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1196208,1192512,11010,9096,66,0.114001,0.002818,0.003424,0.000138,0.492778,0.120382,0,0.61316
1,eager,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1196208,1192512,11010,9096,66,0.114219,0.002819,0.003346,0.000045,0.492064,0.120429,0,0.612493
2,eager,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1196208,1192512,11010,9096,66,0.115811,0.002815,0.003313,0.000044,0.493175,0.121982,0,0.615158
3,eager,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1196208,1192512,11010,9096,66,0.113946,0.002917,0.003298,0.000058,0.489998,0.12022,0,0.610218
4,eager,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1196208,1192512,11010,9096,66,0.114059,0.002836,0.003339,0.000043,0.490848,0.120276,0,0.611124
0,eager,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10200746,10196785,100995,97097,7,1.624793,0.028426,0.032477,0.000006,22.808,1.6857,0,24.4937
1,eager,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10200746,10196785,100995,97097,7,1.654981,0.028238,0.032582,0.000007,22.8655,1.71581,0,24.5813
2,eager,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10200746,10196785,100995,97097,7,1.627526,0.027985,0.032735,0.000008,22.6951,1.68825,0,24.3834
3,eager,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10200746,10196785,100995,97097,7,1.633830,0.029476,0.033126,0.000006,22.5635,1.69644,0,24.26
4,eager,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10200746,10196785,100995,97097,7,1.632703,0.028255,0.032607,0.000006,22.9287,1.69357,0,24.6222
