iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00405825,0,0.000894082,0.00495233,0.32639,0.720088,1.05264
1,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00754031,0,0.00428625,0.0118266,0.352969,0.720651,1.08773
2,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00364085,0,0.000879617,0.00452047,0.32985,0.724862,1.06032
3,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00160034,0,0.000892394,0.00249274,0.328868,0.756929,1.08875
4,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,0,0,0,0,0,0,0,0,0.00755489,0,0.00430547,0.0118604,0.34835,0.754667,1.11713
0,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.023932,0.000037,0.000042,0.000352,0.0384122,0.0243622,0,0.0627743,0.321972,7.57012,7.95487
1,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010352,0.000031,0.000043,0.000183,0.0172424,0.0106077,0,0.0278501,0.322983,7.16489,7.51572
2,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.023928,0.000039,0.000043,0.000356,0.0400731,0.0243651,0,0.0644381,0.322563,7.15646,7.54346
3,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.024252,0.000038,0.000042,0.000349,0.0385488,0.0246806,0,0.0632294,0.321723,7.19444,7.5794
4,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.023639,0.000035,0.000042,0.000302,0.0372918,0.0240196,0,0.0613114,0.32405,7.52072,7.90608
0,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.017621,0.000377,0.000012,0.000575,0.0232374,0.0185841,0,0.0418215,0.324796,7.56984,7.93646
1,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.028119,0.000448,0.000044,0.000708,0.0381975,0.0293189,0,0.0675164,0.32387,7.56569,7.95708
2,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012623,0.000288,0.000040,0.000424,0.0169204,0.0133753,0,0.0302957,0.32443,7.51742,7.87214
3,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012783,0.000296,0.000042,0.000429,0.0170732,0.0135496,0,0.0306229,0.323876,7.14013,7.49463
4,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.027280,0.000436,0.000073,0.000696,0.0367342,0.0284851,0,0.0652193,0.321607,7.56182,7.94865
0,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0182955,0,0.0102118,0.0285073,0.335398,7.4592,7.82868
1,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0167607,0,0.00963471,0.0263954,0.324912,8.5982,8.95465
2,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0169662,0,0.00971327,0.0266794,0.324462,7.48225,7.83842
