iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
3,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011440,0.021246,0.000000,0.018022,0.0485626,0.0507086,0,0.0992712
4,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.011364,0.020985,0.000000,0.017983,0.0484766,0.050333,0,0.0988096
0,eager,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1171351,1068765,653827,553478,560,0.216328,0.260195,0.191376,0.000333,0.63436,0.668232,0,1.30259
1,eager,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1171351,1068765,653827,553478,560,0.223463,0.263866,0.192712,0.000338,0.638983,0.680379,0,1.31936
2,eager,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1171351,1068765,653827,553478,560,0.215264,0.257241,0.192092,0.000318,0.633617,0.664915,0,1.29853
3,eager,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1171351,1068765,653827,553478,560,0.217079,0.258800,0.191182,0.000353,0.63814,0.667414,0,1.30555
4,eager,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1171351,1068765,653827,553478,560,0.216229,0.259227,0.192309,0.000343,0.636582,0.668107,0,1.30469
0,eager,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,126107,89092,39370,6803,0.018193,0.034841,0.021169,0.003236,0.0587229,0.0774391,0,0.136162
1,eager,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,126107,89092,39370,6803,0.017663,0.032988,0.020863,0.003051,0.0577953,0.0745659,0,0.132361
2,eager,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,126107,89092,39370,6803,0.017728,0.033117,0.020617,0.003089,0.0571687,0.0745508,0,0.131719
3,eager,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,126107,89092,39370,6803,0.017846,0.034126,0.020606,0.003091,0.0578587,0.0756682,0,0.133527
4,eager,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,199989,126107,89092,39370,6803,0.017984,0.035271,0.021161,0.003066,0.0583518,0.0774823,0,0.135834
0,eager,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107446,107444,88559,9,49475,0.012953,0.028520,0.000025,0.022853,0.0483223,0.0643519,0,0.112674
1,eager,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107446,107444,88559,9,49475,0.013141,0.028761,0.000025,0.022710,0.0486538,0.0646372,0,0.113291
2,eager,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107446,107444,88559,9,49475,0.013106,0.029018,0.000024,0.022562,0.0490598,0.06471,0,0.11377
3,eager,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107446,107444,88559,9,49475,0.013562,0.029458,0.000025,0.022485,0.0491527,0.0655293,0,0.114682
4,eager,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107446,107444,88559,9,49475,0.012861,0.028463,0.000024,0.022484,0.0480865,0.0638316,0,0.111918
0,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012878,0.028309,0.000000,0.023134,0.0475239,0.0643213,0,0.111845
1,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012770,0.028167,0.000000,0.023044,0.0470246,0.0639816,0,0.111006
2,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.013124,0.028531,0.000000,0.023358,0.0490101,0.0650122,0,0.114022
3,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.013866,0.030897,0.000000,0.023774,0.0499063,0.068538,0,0.118444
4,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012690,0.028145,0.000000,0.023221,0.0471288,0.0640553,0,0.111184
0,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.013017,0.028316,0.000000,0.023398,0.0480213,0.06473,0,0.112751
1,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.013072,0.028553,0.000000,0.023496,0.0480386,0.0651209,0,0.113159
2,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.013047,0.028232,0.000000,0.023380,0.047785,0.0646588,0,0.112444
3,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.013311,0.028752,0.000000,0.023835,0.0482236,0.0658989,0,0.114122
4,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012952,0.028284,0.000000,0.023300,0.0480828,0.0645362,0,0.112619
