iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.00102723,0.00191136,0,0.00102723,0.00293858
1,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.00113013,0.00213473,0,0.00113013,0.00326486
2,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.00112296,0.00213931,0,0.00112296,0.00326227
3,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.00104013,0.00228824,0,0.00104013,0.00332837
4,additional,10000,1000000,100000,100000,normal,62497,16,6,25708,0,0,0,0,0,0,0,0,0.000922673,0.00176256,0,0.000922673,0.00268523
0,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00950352,0.0179723,0,0.00950352,0.0274759
1,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00966718,0.0167895,0,0.00966718,0.0264567
2,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00958007,0.0165266,0,0.00958007,0.0261067
3,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.00988786,0.0167646,0,0.00988786,0.0266524
4,additional,100000,1000000,100000,100000,normal,62498,16,6,257594,0,0,0,0,0,0,0,0,0.010318,0.0170199,0,0.010318,0.0273379
0,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0926831,0.163726,0,0.0926831,0.256409
1,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0922961,0.164403,0,0.0922961,0.256699
2,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.095546,0.166969,0,0.095546,0.262515
3,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0923648,0.165299,0,0.0923648,0.257664
4,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.0931078,0.163187,0,0.0931078,0.256295
0,lazy,10,1000000,100000,100000,normal,75876,8,4,21,12,7,4,0,0.000002,0.000001,0.000003,0.000000,3.96e-06,5.712e-06,0,9.672e-06
1,lazy,10,1000000,100000,100000,normal,75876,8,4,21,12,7,4,0,0.000002,0.000001,0.000002,0.000000,3.839e-06,5.173e-06,0,9.012e-06
2,lazy,10,1000000,100000,100000,normal,75876,8,4,21,12,7,4,0,0.000002,0.000001,0.000002,0.000000,3.742e-06,5.034e-06,0,8.776e-06
3,lazy,10,1000000,100000,100000,normal,75876,8,4,21,12,7,4,0,0.000002,0.000001,0.000002,0.000000,3.871e-06,5.17e-06,0,9.041e-06
4,lazy,10,1000000,100000,100000,normal,75876,8,4,21,12,7,4,0,0.000002,0.000001,0.000002,0.000000,3.739e-06,5.082e-06,0,8.821e-06
0,lazy,100,1000000,100000,100000,normal,64961,15,6,282,231,21,11,7,0.000011,0.000004,0.000009,0.000004,2.5259e-05,2.7378e-05,0,5.2637e-05
1,lazy,100,1000000,100000,100000,normal,64961,15,6,282,231,21,11,7,0.000011,0.000004,0.000009,0.000004,2.4764e-05,2.7026e-05,0,5.179e-05
2,lazy,100,1000000,100000,100000,normal,64961,15,6,282,231,21,11,7,0.000011,0.000004,0.000009,0.000004,2.507e-05,2.754e-05,0,5.261e-05
3,lazy,100,1000000,100000,100000,normal,64961,15,6,282,231,21,11,7,0.000011,0.000004,0.000009,0.000004,2.5899e-05,2.7816e-05,0,5.3715e-05
4,lazy,100,1000000,100000,100000,normal,64961,15,6,282,231,21,11,7,0.000011,0.000004,0.000009,0.000004,2.5448e-05,2.7624e-05,0,5.3072e-05
0,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000138,0.000007,0.000012,0.000008,0.00021876,0.000164518,0,0.000383278
1,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000105,0.000006,0.000012,0.000007,0.000175576,0.000130658,0,0.000306234
2,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000106,0.000005,0.000012,0.000007,0.000174637,0.000130089,0,0.000304726
3,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000105,0.000006,0.000012,0.000007,0.000172414,0.000129523,0,0.000301937
4,lazy,1000,1000000,100000,100000,normal,62411,16,6,2626,2543,27,12,12,0.000106,0.000006,0.000012,0.000020,0.000195075,0.000143129,0,0.000338204
0,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.000946,0.000006,0.000012,0.000032,0.00175106,0.000995653,0,0.00274672
1,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.000989,0.000007,0.000012,0.000034,0.00185102,0.00104245,0,0.00289347
2,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.000946,0.000006,0.000011,0.000031,0.00178203,0.00099454,0,0.00277657
3,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.000923,0.000006,0.000011,0.000031,0.0016436,0.000970727,0,0.00261433
4,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.000930,0.000006,0.000013,0.000031,0.00167214,0.000980428,0,0.00265256
0,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.009560,0.000016,0.000012,0.000087,0.0166979,0.00967519,0,0.0263731
1,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.009631,0.000016,0.000011,0.000087,0.0172065,0.00974495,0,0.0269514
2,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.009576,0.000016,0.000012,0.000100,0.0167521,0.00970393,0,0.026456
3,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.009789,0.000012,0.000011,0.000085,0.0172327,0.00989747,0,0.0271302
4,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.009648,0.000010,0.000014,0.000084,0.0167543,0.00975568,0,0.02651
0,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.096579,0.000056,0.000012,0.000972,0.166502,0.0976192,0,0.264121
1,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.103867,0.000055,0.000012,0.000845,0.166008,0.104779,0,0.270786
