iter,strategy,num queries,domain size,leaf size,range size,distribution,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,lazy,10000000,1000000,100000,100000,normal,25780780,25780697,38,12,23,1.001206,0.000150,0.000012,0.001641,1.00301,1.54728,2.55028
1,lazy,10000000,1000000,100000,100000,normal,25780780,25780697,38,12,23,1.004753,0.000142,0.000012,0.001610,1.00652,1.52429,2.53081
2,lazy,10000000,1000000,100000,100000,normal,25780780,25780697,38,12,23,1.006334,0.000144,0.000013,0.001607,1.0081,1.53807,2.54617
3,lazy,10000000,1000000,100000,100000,normal,25780780,25780697,38,12,23,1.005793,0.000150,0.000012,0.001616,1.00757,1.52806,2.53563
4,lazy,10000000,1000000,100000,100000,normal,25780780,25780697,38,12,23,1.003587,0.000144,0.000012,0.001603,1.00535,1.52949,2.53484
0,eager,10000000,1000000,100000,100000,normal,25780741,25780697,38,12,23,1.291783,0.003713,0.000016,0.005194,1.30071,1.53725,2.83795
1,eager,10000000,1000000,100000,100000,normal,25780741,25780697,38,12,23,1.288416,0.003690,0.000016,0.005150,1.29727,1.53412,2.83139
2,eager,10000000,1000000,100000,100000,normal,25780741,25780697,38,12,23,1.291924,0.003746,0.000016,0.005231,1.30092,1.55993,2.86084
3,eager,10000000,1000000,100000,100000,normal,25780741,25780697,38,12,23,1.288776,0.003799,0.000016,0.005236,1.29783,1.53559,2.83342
4,eager,10000000,1000000,100000,100000,normal,25780741,25780697,38,12,23,1.332661,0.003605,0.000016,0.005099,1.34138,1.54921,2.89059
0,additional,100000000,1000000,100000,100000,normal,257800689,0,0,0,0,0,0,0,0,11.4005,15.3743,31.2346
1,additional,100000000,1000000,100000,100000,normal,257800689,0,0,0,0,0,0,0,0,11.2649,15.3119,31.0339
2,additional,100000000,1000000,100000,100000,normal,257800689,0,0,0,0,0,0,0,0,11.3927,15.3626,31.213
3,additional,100000000,1000000,100000,100000,normal,257800689,0,0,0,0,0,0,0,0,11.3936,15.3189,31.1714
4,additional,100000000,1000000,100000,100000,normal,257800689,0,0,0,0,0,0,0,0,11.3048,15.5524,31.3174
0,lazy,100000000,1000000,100000,100000,normal,257800728,257800645,38,12,23,10.542671,0.000137,0.000012,0.001613,10.5444,15.3011,25.8455
1,lazy,100000000,1000000,100000,100000,normal,257800728,257800645,38,12,23,10.512368,0.000147,0.000013,0.001611,10.5141,15.2932,25.8073
2,lazy,100000000,1000000,100000,100000,normal,257800728,257800645,38,12,23,10.589098,0.000192,0.000012,0.001778,10.5911,15.4257,26.0168
3,lazy,100000000,1000000,100000,100000,normal,257800728,257800645,38,12,23,10.533621,0.000150,0.000013,0.001639,10.5354,15.3262,25.8617
4,lazy,100000000,1000000,100000,100000,normal,257800728,257800645,38,12,23,10.404517,0.000155,0.000012,0.001607,10.4063,15.1129,25.5192
0,eager,100000000,1000000,100000,100000,normal,257800689,257800645,38,12,23,13.470250,0.003686,0.000016,0.005141,13.4791,15.5935,29.0726
1,eager,100000000,1000000,100000,100000,normal,257800689,257800645,38,12,23,13.495863,0.003703,0.000016,0.005081,13.5047,15.3056,28.8103
2,eager,100000000,1000000,100000,100000,normal,257800689,257800645,38,12,23,13.584329,0.003798,0.000016,0.005220,13.5934,15.3822,28.9755
3,eager,100000000,1000000,100000,100000,normal,257800689,257800645,38,12,23,13.519817,0.003732,0.000016,0.005176,13.5287,15.3752,28.904
4,eager,100000000,1000000,100000,100000,normal,257800689,257800645,38,12,23,13.571000,0.003735,0.000016,0.005194,13.5799,15.4425,29.0224
