iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time, mapping + tree building time,post filtering time,db execution time,total time
2,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000014,0.000006,0.000009,0.000004,2.3338E-05,3.3698E-05,0,5.7036E-05,1.89665,0.397365,2.294072036
3,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000012,0.000006,0.000009,0.000004,2.3312E-05,3.1841E-05,0,5.5153E-05,1.88134,0.393453,2.274848153
4,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,278,234,23,12,8,0.000037,0.000019,0.000009,0.000004,2.2761E-05,6.9348E-05,0,9.2109E-05,1.88173,0.358757,2.240579109
0,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000109,0.000005,0.000008,0.000008,0.000166376,0.00012989,0,0.000296266,18.8862,0.384293,19.270789266
1,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000121,0.000005,0.000008,0.000008,0.000179545,0.000141457,0,0.000321002,18.9259,0.354129,19.280350002
2,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000113,0.000005,0.000008,0.000008,0.000162925,0.000133683,0,0.000296608,18.8185,0.355094,19.173890608
3,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000108,0.000005,0.000008,0.000008,0.000164494,0.000128991,0,0.000293485,18.8557,0.3835,19.239493485
4,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000109,0.000005,0.000008,0.000008,0.000164693,0.000130013,0,0.000294706,18.8471,0.38396,19.231354706
0,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.001038,0.000005,0.000008,0.000015,0.00166913,0.0010664,0,0.00273553,18.6654,0.369141,19.03727653
1,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000962,0.000005,0.000008,0.000016,0.00170056,0.000991488,0,0.00269205,18.6799,0.382299,19.06489105
2,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000980,0.000005,0.000008,0.000016,0.00164914,0.00100861,0,0.00265775,18.6691,0.356559,19.02831675
3,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000978,0.000005,0.000008,0.000016,0.00157715,0.00100743,0,0.00258458,18.6492,0.354406,19.00619058
4,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.000995,0.000005,0.000008,0.000016,0.0016744,0.00102437,0,0.00269877,18.6684,0.355113,19.02621177
0,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010171,0.000012,0.000008,0.000195,0.0172658,0.0103865,0,0.0276522,18.7247,0.358264,19.1106162
1,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010124,0.000012,0.000008,0.000191,0.0166314,0.0103348,0,0.0269662,18.749,0.358689,19.1346552
2,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010125,0.000012,0.000008,0.000189,0.0158933,0.0103348,0,0.0262281,18.832,0.358009,19.2162371
3,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010139,0.000015,0.000008,0.000193,0.0166999,0.0103551,0,0.027055,18.6849,0.384105,19.09606
4,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010145,0.000014,0.000008,0.000191,0.0167643,0.0103585,0,0.0271228,19.0964,0.389174,19.5126968
0,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610540,2610496,38,12,23,0.099442,0.000059,0.000008,0.001055,0.166342,0.100564,0,0.266907,188.195,0.353754,188.815661
1,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610540,2610496,38,12,23,0.099158,0.000058,0.000008,0.001047,0.17203,0.100272,0,0.272302,188.452,0.353595,189.077897
2,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610540,2610496,38,12,23,0.099727,0.000060,0.000008,0.001060,0.165264,0.100854,0,0.266118,188.356,0.353274,188.975392
3,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610540,2610496,38,12,23,0.098619,0.000080,0.000008,0.001068,0.166192,0.099776,0,0.265968,188.078,0.353448,188.697416
4,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610540,2610496,38,12,23,0.099768,0.000061,0.000008,0.001052,0.169701,0.100888,0,0.27059,188.363,0.353785,188.987375
0,lazy,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103767,26103723,39,12,24,0.994358,0.000144,0.000008,0.002103,1.63858,0.996614,0,2.63519,186.74,0.35448,189.72967
1,lazy,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103767,26103723,39,12,24,0.997132,0.000133,0.000008,0.002109,1.67586,0.999382,0,2.67524,186.457,0.352915,189.485155
2,lazy,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103767,26103723,39,12,24,0.992664,0.000128,0.000008,0.002047,1.64078,0.994846,0,2.63562,186.521,0.353536,189.510156
3,lazy,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103767,26103723,39,12,24,0.990649,0.000133,0.000008,0.002094,1.64116,0.992885,0,2.63405,186.432,0.353413,189.419463
4,lazy,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103767,26103723,39,12,24,1.001939,0.000127,0.000008,0.002075,1.77388,1.00415,0,2.77803,186.456,0.353693,189.587723
0,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000002,0.000002,0.000003,0.000000,2.79E-06,7.3E-06,0,1.009E-05,188.179,0.357488,188.53649809
1,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000002,0.000002,0.000003,0.000000,2.543E-06,6.614E-06,0,9.157E-06,188.39,0.357222,188.747231157
2,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000002,0.000002,0.000021,0.000000,2.687E-06,2.4364E-05,0,2.7051E-05,188.577,0.358182,188.935209051
3,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000002,0.000002,0.000003,0.000000,2.717E-06,7.004E-06,0,9.721E-06,188.603,0.357824,188.960833721
4,eager,normal,10,1000000,100000,100000,100000,100000,100000,65309,9,4,20,11,8,5,0,0.000002,0.000002,0.000003,0.000000,2.542E-06,6.758E-06,0,9.3E-06,188.059,0.357885,188.4168943
0,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000018,0.000005,0.000008,0.000005,2.2487E-05,3.5384E-05,0,5.7871E-05,1878.87,0.350163,1879.220220871
1,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000018,0.000005,0.000008,0.000004,2.5604E-05,3.5347E-05,0,6.0951E-05,1893.97,0.350633,1894.320693951
2,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000018,0.000006,0.000008,0.000004,2.3733E-05,3.5053E-05,0,5.8786E-05,1874.81,0.35008,1875.160138786
3,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000017,0.000006,0.000008,0.000004,2.264E-05,3.4833E-05,0,5.7473E-05,1876.25,0.351448,1876.601505473
4,eager,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,234,23,12,8,0.000018,0.000006,0.000008,0.000005,2.3217E-05,3.5972E-05,0,5.9189E-05,1886.8,0.356703,1887.156762189
0,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000137,0.000009,0.000008,0.000012,0.000169524,0.000165797,0,0.000335321,1867.93,0.34998,1868.280315321
1,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000161,0.000009,0.000008,0.000012,0.000208025,0.000190784,0,0.000398809,1866.31,0.35024,1866.660638809
2,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000137,0.000009,0.000008,0.000012,0.000170088,0.000165312,0,0.0003354,1867.8,0.347174,1868.1475094
3,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000142,0.000009,0.000008,0.000012,0.00017143,0.000171362,0,0.000342792,1864.55,0.350608,1864.900950792
4,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000169,0.000009,0.000008,0.000012,0.000185415,0.000198762,0,0.000384177,1865.09,0.347432,1865.437816177
0,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.001242,0.000016,0.000008,0.000026,0.00161457,0.0012919,0,0.00290647,1876.77,0.354383,1877.12728947
